Brand Name 	Label
One Direction	1D
One Direction Custom	1D
One Direction Custom Christmas	1D
20SomethingArt	20SO
5 Seconds of Summer	5SOS
5 Seconds of Summer Custom	5SOS
Angry Bird	ABIR
Angry Birds Custom	ABIR
AC/DC	ACDC
AC/DC Custom	ACDC
Time Warner A CHRISTMAS STORY	ACHR
Time Warner A CLOCKWORK ORANGE	ACLO
AC Milan	ACM
AC Milan Custom	ACM
Activision Classics / Catalog	ACTC
Hasbro Action Man	ACTM
Adventure Time	ADVE
Aerosmith	AERO
Argentina Football Association	AFA
Argentina Football Association	AFA
Arsenal Football Club	AFC
Arsenal Football Club Custom	AFC
Arsenal Football Club	AFCx
Andi GreyScale	AG
AIMEE STEWART	AIME
Aini Tolonen	AINI
ARTBYJWPI	AJWP
Ali Chris	ALCR
Alessandro Spedicato	ALES
Alchemy Gothic	ALGO
Alchemy Gothic Custom	ALGO
Ali Gulec	ALIG
Alyn Spiller	ALYN
Amanda Laurel Atkins	AMAN
Amy Brown	AMBR
Amy Diener	AMDI
Amanda Hilburn	AMHL
Ameritech	AMTE
Amy Sia	AMYS
Time Warner Annabelle	ANAB
Time Warner Annabelle Comes Home	ANABCH
ANDREA ANDEREGG	ANDA
ANDREA LAUREN DESIGN	ANDR
A Nightmare On Elm Street (2010)	ANEL10
A Nightmare On Elm Street 2 Freddy's Revenge	ANEL2FR
A Nightmare On Elm Street 3 Dream Warriors	ANEL3DW
A Nightmare On Elm Street 4 The Dream Master	ANEL4DM
A Nightmare On Elm Street (1984)	ANEL84
A Nightmare On Elm Street: The Dream Child	ANELDC
A Nightmare On Elm Street: Freddy's Dead	ANELFD
A Nightmare On Elm Street: New Nightmare	ANELNN
Argentina National Football Team	ANFT
Angelo Cerantola	ANGC
Animal Club International	ANICLU
ANIS ILLUSTRATION	ANIL
Anne Lambelet	ANLA
Time Warner ANIMANIACS	ANMC
Anthony Christou	ANTC
Anthem	ANTH
Andy Westface	ANWE
Time Warner Aquaman Core	AQCO
Aquaman And The Lost Kingdom	AQLK
Time Warner AQUAMAN MOVIE 2018	AQMO
Aqua Teen Hunger Force	AQTE
ARCHIVE	ARCH
Aron Art	ARON
Time Warner Arrow TV Series	ARRW
ArtPopTart	ARTP
Anne Stokes	AS
Anne Stokes Custom	AS
Ash Evans	ASHE
Ubisoft Assassin's Creed	ASSA
Atletico de Madrid	ATM
Atletico de Madrid Custom	ATM
AUSTRALIA NATIONAL RUGBY UNION TEAM	AURT
AUSTRALIA NATIONAL RUGBY UNION TEAM Custom	AURT
Aston Villa FC	AVFC
Aston Villa FC	AVLA
Aston Villa FC Custom	AVLA
Ayeyokp	AYEY
Ben 10: Alien Force	B10AF
Ben 10: Animated Series	B10AS
Ben 10: Omniverse	B10OM
Ben 10: Ultimate Alien	B10UA
British and Irish Lions	BAIL
Batman Returns	BARE
Barruf	BARR
Brigid Ashwood	BASH
Brigid Ashwood Custom	BASH
Batman (1989)	BATM
Breaking Bad	BBAD
Breaking Bad Custom	BBAD
Batman Begins	BBEG
Beano	BEAN
Time Warner BEETLEJUICE	BEET
BELI	BELI
BEN HEINE	BENH
Brenda Erickson	BERK
Universal Studios BACK TO THE FUTURE	BFUT
Brighton & Hove Albion F.C	BHA
Brighton & Hove Albion F.C Custom	BHA
Bianca Green	BIAN
Billy Idol	BIDO
Bioworkz	BIOW
Busted Knuckle Garage	BKG
Bla_ Rojs	BLAZ
Black Adam	BLKA
Time Warner BLACK LIGHTNING	BLKL
Bal‡zs Solti	BLZS
British Museum	BMUS
Batman V Superman: Dawn Of Justice	BMVSM
BOO - THE WORLD'S CUTEST DOGª	BOOW
Time Warner BIRDS OF PREY	BOP
Bored of Directors	BORE
BOTICA SONORA	BOTI
Brandalised	BR
Britto	BRTT
BRITNEY SPEARS	BSPR
Been Trill	BT
